Employee_ID,First_Name,Last_Name,Age,Department_Region,Status,Join_Date,Salary,Email,Phone,Performance_Score,Bonus,Bouns,Total_Salary
EMP1057,Alice,Smith,40.0,Cloud Tech-Illinois,Pending,11/7/2023,100360.1,alice.smith@example.com,-2971674337,Excellent,10036.010000000002,5000,105360.1
EMP1058,David,Williams,35.0,Finance-Texas,Pending,11/7/2021,93620.88,david.williams@example.com,-54522800,Good,9362.088000000002,5000,98620.88
EMP1059,Bob,Jones,35.0,Sales-California,Pending,4/16/2022,72832.8,bob.jones@example.com,-5619318373,Excellent,7283.280000000001,5000,77832.8
EMP1060,Charlie,Williams,30.0,Finance-Nevada,Inactive,10/19/2023,102369.42,charlie.williams@example.com,-5508428909,Average,10236.942000000001,5000,107369.42
EMP1061,Eva,Davis,40.0,Sales-Texas,Inactive,8/10/2021,64712.79,eva.davis@example.com,-7711991807,Excellent,6471.279,5000,69712.79000000001
EMP1062,Frank,Jones,40.0,Finance-Florida,Pending,3/13/2021,85782.18,frank.jones@example.com,-1213524786,Excellent,8578.217999999999,5000,90782.18
EMP1063,Charlie,Smith,25.0,HR-Illinois,Pending,7/20/2023,93348.26,charlie.smith@example.com,-1255213759,Poor,9334.826,5000,98348.26
EMP1064,David,Davis,35.0,Admin-New York,Active,2/20/2020,53234.96,david.davis@example.com,-3754821455,Good,5323.496,5000,58234.96
EMP1065,Bob,Johnson,40.0,Finance-Nevada,Pending,2/2/2021,100284.21,bob.johnson@example.com,-5328632665,Excellent,10028.421000000002,5000,105284.21
EMP1066,Grace,Brown,30.0,Admin-Nevada,Pending,1/12/2020,112486.19,grace.brown@example.com,-7850720810,Excellent,11248.619,5000,117486.19
EMP1067,Bob,Smith,40.0,Admin-New York,Pending,11/26/2022,82518.49,bob.smith@example.com,-5562606028,Poor,8251.849,5000,87518.49
EMP1068,Bob,Brown,40.0,Admin-Florida,Pending,12/23/2022,119152.47,bob.brown@example.com,-846684549,Poor,11915.247000000001,5000,124152.47
EMP1070,Charlie,Johnson,40.0,Finance-California,Active,9/16/2024,94636.3,charlie.johnson@example.com,-7563410855,Poor,9463.630000000001,5000,99636.3
EMP1071,Heidi,Johnson,30.0,HR-Florida,Active,1/1/2024,70000.97,heidi.johnson@example.com,-2884318847,Average,7000.097000000001,5000,75000.97
EMP1073,David,Johnson,25.0,Finance-Florida,Inactive,1/16/2023,82614.7,david.johnson@example.com,-8105485100,Average,8261.47,5000,87614.7
EMP1074,Grace,Jones,40.0,Sales-Nevada,Active,10/20/2024,111645.97,grace.jones@example.com,-7490753997,Good,11164.597000000002,5000,116645.97
EMP1075,Heidi,Johnson,25.0,HR-California,Inactive,10/13/2024,112414.91,heidi.johnson@example.com,-9354492682,Good,11241.491000000002,5000,117414.91
EMP1076,David,Brown,40.0,Admin-California,Inactive,9/21/2022,52031.74,david.brown@example.com,-1589357125,Good,5203.174,5000,57031.74
EMP1077,Grace,Brown,30.0,Finance-New York,Pending,12/29/2022,51887.65,grace.brown@example.com,-6110627370,Good,5188.765,5000,56887.65
EMP1078,Alice,Davis,25.0,DevOps-Florida,Active,11/10/2024,82318.89,alice.davis@example.com,-5869886496,Good,8231.889000000001,5000,87318.89
EMP1079,Grace,Brown,35.0,Admin-Florida,Inactive,11/22/2021,103286.08,grace.brown@example.com,-6776228276,Average,10328.608,5000,108286.08
EMP1080,Grace,Davis,35.0,Cloud Tech-Florida,Active,3/14/2024,87759.33,grace.davis@example.com,-2881377027,Average,8775.933,5000,92759.33
EMP1081,Frank,Brown,30.0,DevOps-Texas,Pending,3/23/2020,102796.32,frank.brown@example.com,-5196115939,Good,10279.632000000001,5000,107796.32
EMP1082,David,Jones,25.0,Sales-New York,Active,9/15/2020,83149.27,david.jones@example.com,-8215454469,Poor,8314.927000000001,5000,88149.27
EMP1083,David,Garcia,40.0,DevOps-California,Inactive,12/9/2020,92412.49,david.garcia@example.com,-2296044326,Excellent,9241.249000000002,5000,97412.49
EMP1084,Bob,Davis,30.0,HR-Texas,Pending,2/22/2020,115022.1,bob.davis@example.com,-185106793,Good,11502.210000000001,5000,120022.1
EMP1085,Grace,Williams,40.0,DevOps-New York,Active,4/27/2023,98343.01,grace.williams@example.com,-9756792286,Poor,9834.301,5000,103343.01
EMP1086,Bob,Miller,35.0,DevOps-Illinois,Active,6/18/2024,118869.1,bob.miller@example.com,-7725199662,Excellent,11886.910000000002,5000,123869.1
EMP1088,Grace,Brown,40.0,Cloud Tech-Florida,Inactive,7/25/2023,112410.25,grace.brown@example.com,-4818139889,Good,11241.025000000001,5000,117410.25
EMP1089,Charlie,Johnson,40.0,Admin-Nevada,Pending,8/25/2023,68905.77,charlie.johnson@example.com,-9837801819,Average,6890.577000000001,5000,73905.77
EMP1090,Heidi,Garcia,40.0,Finance-Nevada,Pending,7/3/2021,72561.32,heidi.garcia@example.com,-4339718955,Excellent,7256.132000000001,5000,77561.32
EMP1091,Bob,Brown,35.0,Finance-New York,Inactive,3/13/2023,92723.22,bob.brown@example.com,-9070562607,Excellent,9272.322,5000,97723.22
EMP1092,Alice,Johnson,40.0,HR-New York,Inactive,3/10/2021,74837.75,alice.johnson@example.com,-5641118241,Poor,7483.775000000001,5000,79837.75
EMP1094,David,Miller,40.0,Finance-Illinois,Active,11/15/2023,83326.52,david.miller@example.com,-2004615264,Average,8332.652,5000,88326.52
EMP1095,Heidi,Miller,25.0,Cloud Tech-California,Active,4/8/2022,98425.1,heidi.miller@example.com,-4610339936,Average,9842.510000000002,5000,103425.1
EMP1096,Frank,Johnson,40.0,Sales-Illinois,Inactive,5/21/2022,119764.2,frank.johnson@example.com,-8861405785,Average,11976.42,5000,124764.2
EMP1097,Frank,Brown,40.0,HR-California,Inactive,4/17/2021,58445.91,frank.brown@example.com,-1706304890,Excellent,5844.591,5000,63445.91
EMP1100,Charlie,Davis,35.0,Cloud Tech-Texas,Pending,8/21/2021,98819.22,charlie.davis@example.com,-794200748,Good,9881.922,5000,103819.22
EMP1101,Heidi,Johnson,25.0,Cloud Tech-Illinois,Inactive,8/19/2022,83509.99,heidi.johnson@example.com,-4653984027,Average,8350.999000000002,5000,88509.99
EMP1102,Alice,Johnson,35.0,Finance-Texas,Active,3/31/2022,84422.26,alice.johnson@example.com,-9141612845,Average,8442.226,5000,89422.26
EMP1103,Alice,Brown,30.0,Admin-Illinois,Inactive,6/23/2020,119574.27,alice.brown@example.com,-3985547434,Average,11957.427000000001,5000,124574.27
EMP1105,Heidi,Johnson,35.0,Sales-Florida,Inactive,3/10/2023,93471.91,heidi.johnson@example.com,-26876810,Poor,9347.191,5000,98471.91
EMP1106,Bob,Miller,30.0,DevOps-New York,Inactive,9/14/2023,55683.12,bob.miller@example.com,-8071569561,Poor,5568.312000000001,5000,60683.12
EMP1107,Bob,Brown,30.0,Cloud Tech-Florida,Inactive,11/12/2023,91566.78,bob.brown@example.com,-175370303,Good,9156.678,5000,96566.78
EMP1108,David,Miller,35.0,DevOps-California,Pending,10/26/2024,81782.19,david.miller@example.com,-5319433749,Good,8178.219000000001,5000,86782.19
EMP1110,Eva,Garcia,30.0,Cloud Tech-Texas,Active,6/11/2024,71532.83,eva.garcia@example.com,-8728399920,Good,7153.283,5000,76532.83
EMP1111,Eva,Davis,40.0,Cloud Tech-Florida,Pending,9/14/2021,98981.36,eva.davis@example.com,-9212493842,Good,9898.136,5000,103981.36
EMP1112,Heidi,Garcia,40.0,Cloud Tech-Illinois,Active,12/26/2024,80242.01,heidi.garcia@example.com,-894870604,Good,8024.201,5000,85242.01
EMP1113,Eva,Miller,25.0,Cloud Tech-New York,Pending,9/8/2024,110236.18,eva.miller@example.com,-6641877579,Average,11023.618,5000,115236.18
EMP1114,Alice,Davis,35.0,Sales-Texas,Active,8/21/2022,86327.47,alice.davis@example.com,-3046875062,Average,8632.747000000001,5000,91327.47
EMP1115,Eva,Brown,30.0,Sales-Florida,Pending,7/25/2024,84420.81,eva.brown@example.com,-5190361331,Average,8442.081,5000,89420.81
EMP1116,Frank,Smith,40.0,HR-California,Pending,8/2/2020,110041.32,frank.smith@example.com,-5411076094,Average,11004.132000000001,5000,115041.32
EMP1117,Heidi,Miller,35.0,DevOps-Florida,Pending,3/16/2020,81837.81,heidi.miller@example.com,-4317350582,Good,8183.781,5000,86837.81
EMP1118,Frank,Garcia,25.0,Finance-Illinois,Active,9/8/2023,110855.72,frank.garcia@example.com,-1997179109,Poor,11085.572,5000,115855.72
EMP1119,Alice,Jones,30.0,Sales-California,Pending,3/29/2024,84894.52,alice.jones@example.com,-651207048,Excellent,8489.452000000001,5000,89894.52
EMP1120,Alice,Garcia,30.0,HR-Illinois,Active,8/12/2021,80668.13,alice.garcia@example.com,-6110804660,Good,8066.813000000001,5000,85668.13
EMP1121,Bob,Jones,25.0,DevOps-Illinois,Active,12/24/2023,61086.47,bob.jones@example.com,-9639907675,Excellent,6108.647000000001,5000,66086.47
EMP1122,Grace,Johnson,25.0,Admin-Texas,Inactive,8/28/2020,95339.68,grace.johnson@example.com,-9915078592,Poor,9533.967999999999,5000,100339.68
EMP1125,Bob,Garcia,35.0,Finance-California,Pending,7/1/2021,107438.46,bob.garcia@example.com,-249685497,Good,10743.846000000001,5000,112438.46
EMP1127,Frank,Smith,35.0,Sales-Illinois,Inactive,7/21/2022,115299.66,frank.smith@example.com,-9203880652,Good,11529.966,5000,120299.66
EMP1129,Grace,Brown,40.0,DevOps-Nevada,Active,10/11/2022,117537.71,grace.brown@example.com,-9594652169,Excellent,11753.771,5000,122537.71
EMP1130,Frank,Brown,25.0,Finance-Texas,Pending,7/24/2022,51074.33,frank.brown@example.com,-7303379336,Excellent,5107.433000000001,5000,56074.33
EMP1131,Charlie,Jones,25.0,Finance-California,Inactive,6/30/2023,98489.32,charlie.jones@example.com,-5636205014,Excellent,9848.932,5000,103489.32
EMP1134,Bob,Davis,40.0,Cloud Tech-Nevada,Pending,11/22/2024,57035.51,bob.davis@example.com,-3230241025,Poor,5703.551,5000,62035.51
EMP1135,Eva,Jones,25.0,Cloud Tech-California,Active,8/23/2021,75092.43,eva.jones@example.com,-1534735527,Excellent,7509.2429999999995,5000,80092.43
EMP1138,Eva,Davis,40.0,HR-Nevada,Active,7/5/2024,82567.73,eva.davis@example.com,-4253042896,Poor,8256.773,5000,87567.73
EMP1139,Charlie,Smith,25.0,Finance-California,Pending,9/4/2021,94725.71,charlie.smith@example.com,-3179128684,Poor,9472.571000000002,5000,99725.71
EMP1140,Eva,Garcia,40.0,HR-New York,Inactive,10/13/2024,83824.56,eva.garcia@example.com,-7872558776,Poor,8382.456,5000,88824.56
EMP1142,Eva,Brown,25.0,Sales-Nevada,Pending,4/10/2020,113743.19,eva.brown@example.com,-6346692547,Good,11374.319000000001,5000,118743.19
EMP1143,Eva,Garcia,30.0,Sales-California,Active,7/27/2023,63309.24,eva.garcia@example.com,-1214785389,Good,6330.924,5000,68309.23999999999
EMP1144,Charlie,Garcia,25.0,DevOps-Nevada,Active,9/24/2021,105202.73,charlie.garcia@example.com,-7895677664,Excellent,10520.273000000001,5000,110202.73
EMP1145,Frank,Davis,30.0,Cloud Tech-California,Inactive,3/10/2024,79085.22,frank.davis@example.com,-7546027340,Good,7908.522000000001,5000,84085.22
EMP1147,Eva,Williams,35.0,Cloud Tech-Florida,Active,10/15/2020,102790.6,eva.williams@example.com,-1150835353,Good,10279.060000000001,5000,107790.6
EMP1149,Frank,Garcia,35.0,Sales-Florida,Pending,1/30/2022,57584.23,frank.garcia@example.com,-5669078262,Average,5758.423000000001,5000,62584.23
EMP1151,Heidi,Williams,35.0,DevOps-Florida,Active,10/13/2020,53174.28,heidi.williams@example.com,-1536637779,Average,5317.428,5000,58174.28
EMP1152,Heidi,Smith,25.0,Cloud Tech-New York,Pending,10/4/2020,77205.21,heidi.smith@example.com,-5292407552,Average,7720.521000000001,5000,82205.21
EMP1155,David,Johnson,35.0,Cloud Tech-Nevada,Inactive,1/20/2023,113118.73,david.johnson@example.com,-6186371596,Average,11311.873,5000,118118.73
EMP1156,Alice,Davis,40.0,HR-New York,Active,10/2/2024,107693.38,alice.davis@example.com,-4121820969,Average,10769.338000000002,5000,112693.38
EMP1158,David,Smith,25.0,Sales-New York,Pending,3/18/2021,106913.71,david.smith@example.com,-7058025661,Average,10691.371000000001,5000,111913.71
EMP1160,Bob,Davis,25.0,Admin-Texas,Inactive,6/5/2024,105190.21,bob.davis@example.com,-4672994937,Good,10519.021,5000,110190.21
EMP1161,Alice,Smith,30.0,HR-Texas,Active,2/28/2024,79467.24,alice.smith@example.com,-7430271692,Poor,7946.724000000001,5000,84467.24
EMP1162,Bob,Garcia,40.0,Finance-California,Pending,4/30/2023,57633.78,bob.garcia@example.com,-8597779013,Poor,5763.378000000001,5000,62633.78
EMP1164,Grace,Johnson,40.0,DevOps-Texas,Inactive,12/29/2023,113679.06,grace.johnson@example.com,-6762916031,Poor,11367.906,5000,118679.06
EMP1165,Bob,Smith,35.0,Sales-New York,Active,9/15/2020,69251.12,bob.smith@example.com,-4841376814,Poor,6925.112,5000,74251.12
EMP1166,Frank,Garcia,40.0,Sales-Illinois,Inactive,7/18/2022,85388.58,frank.garcia@example.com,-1185672437,Poor,8538.858,5000,90388.58
EMP1168,Heidi,Davis,40.0,Finance-Nevada,Active,10/2/2021,79873.48,heidi.davis@example.com,-41257770,Average,7987.348,5000,84873.48
EMP1169,Frank,Miller,30.0,DevOps-Florida,Active,7/5/2020,108224.03,frank.miller@example.com,-1837274219,Poor,10822.403,5000,113224.03
EMP1170,Bob,Garcia,35.0,Admin-Illinois,Active,4/16/2023,116963.72,bob.garcia@example.com,-9124186209,Average,11696.372000000001,5000,121963.72
EMP1171,Bob,Jones,40.0,HR-Nevada,Inactive,11/12/2024,114109.06,bob.jones@example.com,-4275230836,Average,11410.906,5000,119109.06
EMP1173,Heidi,Brown,30.0,Cloud Tech-California,Pending,1/22/2022,58041.97,heidi.brown@example.com,-6335331059,Poor,5804.197,5000,63041.97
EMP1174,David,Garcia,40.0,Sales-Illinois,Pending,10/14/2023,94988.94,david.garcia@example.com,-531312205,Good,9498.894,5000,99988.94
EMP1175,Eva,Miller,25.0,Admin-California,Pending,4/10/2024,71628.93,eva.miller@example.com,-8155839385,Excellent,7162.893,5000,76628.93
EMP1176,Alice,Williams,30.0,Admin-Illinois,Pending,3/31/2022,54870.98,alice.williams@example.com,-6133155205,Good,5487.098000000001,5000,59870.98
EMP1177,Alice,Williams,25.0,DevOps-Illinois,Active,2/9/2022,79388.27,alice.williams@example.com,-5063731494,Average,7938.827000000001,5000,84388.27
EMP1178,Frank,Smith,35.0,DevOps-California,Pending,5/6/2023,55946.99,frank.smith@example.com,-136497188,Average,5594.6990000000005,5000,60946.99
EMP1180,Heidi,Jones,40.0,HR-New York,Pending,8/21/2020,74162.1,heidi.jones@example.com,-7150997682,Excellent,7416.210000000001,5000,79162.1
EMP1182,Alice,Miller,30.0,HR-New York,Active,4/14/2024,67886.37,alice.miller@example.com,-3910257431,Poor,6788.637,5000,72886.37
EMP1183,Alice,Williams,40.0,DevOps-Florida,Active,9/21/2020,76614.52,alice.williams@example.com,-6303975244,Good,7661.452000000001,5000,81614.52
EMP1184,Frank,Smith,25.0,Finance-Nevada,Active,6/12/2022,51311.91,frank.smith@example.com,-864035532,Excellent,5131.191000000001,5000,56311.91
EMP1186,Grace,Johnson,25.0,HR-New York,Pending,7/31/2022,108241.81,grace.johnson@example.com,-171302320,Excellent,10824.181,5000,113241.81
EMP1187,Bob,Davis,40.0,Cloud Tech-New York,Inactive,4/21/2023,78031.49,bob.davis@example.com,-2983381673,Good,7803.149000000001,5000,83031.49
EMP1188,Eva,Davis,35.0,Admin-California,Active,6/5/2020,85733.83,eva.davis@example.com,-2336293448,Excellent,8573.383,5000,90733.83
EMP1189,David,Miller,35.0,HR-Nevada,Pending,7/27/2024,60338.29,david.miller@example.com,-7347156626,Excellent,6033.829000000001,5000,65338.29
EMP1190,Eva,Davis,30.0,Admin-Illinois,Active,4/5/2024,103140.67,eva.davis@example.com,-7689627065,Excellent,10314.067000000001,5000,108140.67
EMP1191,Heidi,Williams,40.0,Sales-Illinois,Inactive,10/26/2023,114690.8,heidi.williams@example.com,-1498282466,Poor,11469.080000000002,5000,119690.8
EMP1192,Frank,Smith,35.0,Admin-Florida,Active,8/18/2022,80954.56,frank.smith@example.com,-4746897151,Good,8095.456,5000,85954.56
EMP1194,Alice,Davis,35.0,HR-Texas,Pending,11/4/2024,118415.8,alice.davis@example.com,-6656749159,Good,11841.580000000002,5000,123415.8
EMP1195,Grace,Johnson,40.0,Sales-Illinois,Pending,3/25/2020,81481.36,grace.johnson@example.com,-1692364586,Excellent,8148.136,5000,86481.36
EMP1196,David,Johnson,35.0,Sales-Florida,Pending,11/4/2020,117040.57,david.johnson@example.com,-5066337049,Good,11704.057,5000,122040.57
EMP1197,Frank,Brown,25.0,Sales-Nevada,Active,3/21/2020,67342.06,frank.brown@example.com,-2497243991,Good,6734.206,5000,72342.06
EMP1199,Grace,Williams,35.0,DevOps-Illinois,Active,6/4/2024,94162.06,grace.williams@example.com,-2644886945,Average,9416.206,5000,99162.06
EMP1200,Frank,Davis,25.0,Sales-Nevada,Inactive,8/4/2021,67639.7,frank.davis@example.com,-1195243639,Excellent,6763.97,5000,72639.7
EMP1201,Charlie,Garcia,35.0,Cloud Tech-Illinois,Pending,10/16/2020,114172.25,charlie.garcia@example.com,-2701168645,Good,11417.225,5000,119172.25
EMP1202,Grace,Davis,30.0,Sales-Nevada,Active,9/26/2021,89124.54,grace.davis@example.com,-2252237280,Excellent,8912.454,5000,94124.54
EMP1203,Frank,Smith,30.0,DevOps-Nevada,Pending,11/4/2023,113871.36,frank.smith@example.com,-7932302345,Average,11387.136,5000,118871.36
EMP1205,Heidi,Jones,30.0,Admin-New York,Active,6/7/2020,70705.45,heidi.jones@example.com,-1509377099,Good,7070.545,5000,75705.45
EMP1206,Alice,Garcia,35.0,Sales-New York,Pending,2/10/2022,60797.69,alice.garcia@example.com,-4090138068,Average,6079.769,5000,65797.69
EMP1207,Charlie,Brown,40.0,Cloud Tech-Florida,Inactive,10/17/2023,100371.0,charlie.brown@example.com,-8477596554,Poor,10037.1,5000,105371.0
EMP1208,Eva,Miller,40.0,Admin-Illinois,Active,9/25/2021,117591.76,eva.miller@example.com,-5356690550,Good,11759.176,5000,122591.76
EMP1209,David,Jones,35.0,DevOps-Illinois,Inactive,8/3/2022,103860.7,david.jones@example.com,-762091842,Average,10386.07,5000,108860.7
EMP1210,Grace,Davis,30.0,Admin-Illinois,Active,11/22/2024,67500.22,grace.davis@example.com,-5797863049,Average,6750.022000000001,5000,72500.22
EMP1212,Charlie,Jones,35.0,Finance-Illinois,Active,8/28/2024,80623.08,charlie.jones@example.com,-5671649327,Excellent,8062.308000000001,5000,85623.08
EMP1213,David,Davis,40.0,HR-Texas,Inactive,4/19/2020,77751.78,david.davis@example.com,-9802714871,Excellent,7775.178,5000,82751.78
EMP1214,Grace,Williams,25.0,HR-New York,Active,10/14/2021,115157.81,grace.williams@example.com,-7178333210,Good,11515.781,5000,120157.81
EMP1215,Frank,Jones,30.0,Admin-Texas,Inactive,8/26/2024,83071.85,frank.jones@example.com,-6025643470,Poor,8307.185000000001,5000,88071.85
EMP1216,Heidi,Brown,40.0,Sales-Texas,Active,2/8/2020,67914.67,heidi.brown@example.com,-2871539914,Excellent,6791.467000000001,5000,72914.67
EMP1217,Grace,Jones,25.0,HR-New York,Inactive,9/6/2020,53342.46,grace.jones@example.com,-6686334140,Poor,5334.246,5000,58342.46
EMP1218,Heidi,Garcia,25.0,Cloud Tech-Florida,Pending,1/2/2023,51150.47,heidi.garcia@example.com,-1159319524,Excellent,5115.0470000000005,5000,56150.47
EMP1219,David,Davis,30.0,HR-Florida,Active,6/13/2023,74697.12,david.davis@example.com,-6904098365,Average,7469.7119999999995,5000,79697.12
EMP1220,Charlie,Williams,25.0,Sales-California,Active,12/13/2022,88085.74,charlie.williams@example.com,-5528993159,Excellent,8808.574,5000,93085.74
EMP1221,Alice,Williams,40.0,Finance-Texas,Pending,3/3/2022,118672.76,alice.williams@example.com,-8752437728,Poor,11867.276,5000,123672.76
EMP1222,Alice,Miller,35.0,Cloud Tech-California,Active,2/10/2024,95997.31,alice.miller@example.com,-4209548148,Average,9599.731,5000,100997.31
EMP1223,Frank,Brown,30.0,Cloud Tech-California,Pending,11/24/2021,106945.62,frank.brown@example.com,-7374605232,Average,10694.562,5000,111945.62
EMP1224,Heidi,Johnson,40.0,DevOps-New York,Active,5/9/2020,100123.15,heidi.johnson@example.com,-276420864,Average,10012.315,5000,105123.15
EMP1225,Alice,Johnson,35.0,Admin-Texas,Active,12/19/2024,52933.42,alice.johnson@example.com,-6756618442,Poor,5293.342000000001,5000,57933.42
EMP1227,Alice,Miller,35.0,HR-Texas,Inactive,6/13/2022,112264.06,alice.miller@example.com,-9277423329,Good,11226.406,5000,117264.06
EMP1228,Grace,Smith,35.0,Admin-Florida,Pending,10/15/2022,75714.28,grace.smith@example.com,-5912662014,Good,7571.428,5000,80714.28
